INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../HLS-Verilog/Weight_Loader-Stager/Weight_stager.cpp in debug mode
   Compiling ../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp in debug mode
   Compiling ../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  | CtrlAddr   | CtrlDin    CtrlDout   Rd       Wr       CE       RstN     | DbgState         MemReq   DMA_Addr   DbgDone  Seen   IRQ        IRQFlag    IRQData    | MemCtrl    MemIRQ     MemIRQEn   | wl{WLrdy WLstrt WLSel Layer Head Tile} err=Err dma_req=DMAReq dma_done=DMADone dma_addr=DMAAddr
48       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x10000000 -  1:Q      -  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
49       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x10000000 1  1:Q      -  0x10000100 1  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
50       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x10000000 -  1:Q      -  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
51       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:Q      -  0x10000000 -  1:Q      -  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
52       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x10000000 -  1:K      -  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
53       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x10000000 -  1:K      -  0x10000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
54       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      1  0x20000000 -  1:K      1  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
55       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x20000000 -  1:K      -  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
56       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x20000000 -  1:K      -  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
57       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x20000000 1  1:K      -  0x20000100 1  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
58       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x20000000 -  1:K      -  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
59       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K      -  0x20000000 -  1:K      -  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
60       0      1      | 8          | 0          0          1        -        1        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K_RQ   -  0x20000000 -  1:K_RQ   -  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
61       0      1      | 8          | 0          0          -        -        -        1        | S_ATT_HEADS      -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:K_RQ   -  0x20000000 -  1:K_RQ   -  0x20000100 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
